"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5504","Authorized user see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5908","Guest see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1115","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2455","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2839","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2048","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1902","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","3028","Authorized user can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2240","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","6390","Empty basket opened from Product page has no products","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2676","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1778","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1131","Guest should see login link on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","891","Guest can go to Login page from Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1135","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","6804","Guest can add product to basket","tests","2026-07-03","skipped","2026-07-03","TestProductPage","test_product_page","",""
